group,label,value,profile,jitter,peak_tip_force_N_per_m,peak_root_force_N_per_m,peak_attachment_force_N_per_m,peak_tension_N_per_m,max_panel_curvature_ratio,time_of_peak_s,KE_at_deploy_end_J_per_m,final_tip_force_N_per_m,energy_balance_error,nodes_per_panel,dt_s,wall_time_s,diverged
Deployment time,60,60.0,smooth,1.03,125.49574641689661,123.08114790732708,125.49574641689661,125.48602318545873,3.208500354130491,62.0466900278995,0.32234281245653,92.61525825535453,1.3090350511059268e-8,20,7.902233527548187e-6,333.14939403533936,false
Deployment time,60,60.0,trapezoid,0.97,125.12944196091775,124.57411495125538,125.12944196091775,125.08846264652942,3.2678998565416526,57.98374085524354,0.30302839773399176,101.51445801719571,2.201865672660754e-8,20,7.902233527548187e-6,64.1055600643158,false
Deployment time,60,60.0,trapezoid,1.0,78.99918529566433,82.90782622606335,82.90782622606335,82.89398286353,3.2644103220850593,59.83778659217748,0.18944737058911496,63.22328152777933,1.835757196444211e-8,20,7.902233527548187e-6,87.04648995399475,false
Deployment time,60,60.0,trapezoid,1.03,134.06855681759603,134.4211352956056,134.4211352956056,134.40664698100932,3.26109385740991,62.07543835347272,0.4252668198018923,67.0675742011125,1.4085436687482576e-8,20,7.902233527548187e-6,584.0862281322479,false
Deployment time,60,60.0,constant_then_stop,0.97,246.33424686160112,256.2661026154469,256.2661026154469,256.20253792025215,3.3119985529251927,59.938777136659546,1.0863057136629952,95.59860828811297,1.7103957252932312e-5,20,7.902233527548187e-6,65.83228802680969,false
Deployment time,60,60.0,constant_then_stop,1.0,106.510348464956,105.934413010494,106.510348464956,106.4737572827828,3.3065259115434613,61.563531665558145,0.3177933146664259,78.68622823553491,2.7370397181285433e-6,20,7.902233527548187e-6,86.79362416267395,false
Deployment time,60,60.0,constant_then_stop,1.03,242.43428348952816,232.64852999188253,242.43428348952816,242.3783749498724,3.3011586555988717,62.31469427798629,1.130314778532872,183.48537426183108,1.0258978113286751e-5,20,7.902233527548187e-6,580.4380040168762,false
Deployment time,120,120.0,smooth,0.97,139.25586999634717,139.84994350900797,139.84994350900797,139.83990083688425,3.1920974706630934,115.65442289066134,0.16379219102758036,42.803784277509,1.2169418487074983e-8,20,7.902233527548187e-6,488.2443630695343,false
Deployment time,120,120.0,smooth,1.0,93.48909846044597,93.34215372383123,93.48909846044597,93.48491659976682,3.1918242594294757,119.20760688068869,0.20655737493436974,89.46114704037414,1.7696152849559594e-8,20,7.902233527548187e-6,517.4595611095428,false
Deployment time,120,120.0,smooth,1.03,68.78914975908485,69.51549154384738,69.51549154384738,69.51291655649841,3.1915811352832066,126.13178886676576,0.10065764574069401,26.3245038840862,1.965801010103197e-8,20,7.902233527548187e-6,538.2017588615417,false
Deployment time,120,120.0,trapezoid,0.97,73.63288329775152,72.25453457605748,73.63288329775152,73.62922072888598,3.2126724388987347,117.66252267021483,0.11124923474822915,19.415217773512865,2.046044410652695e-8,20,7.902233527548187e-6,255.94106817245483,false
Deployment time,120,120.0,trapezoid,1.0,99.92414351713407,101.40621402300211,101.40621402300211,101.39975869957047,3.2113426183998683,119.84833577956935,0.26560814889974493,51.90308067713671,1.9030764075181908e-8,20,7.902233527548187e-6,441.7396740913391,false
Deployment time,120,120.0,trapezoid,1.03,102.10790579895318,103.40718931097344,103.40718931097344,103.398346809109,3.2101190116500904,123.35279459766583,0.26555552019583745,26.394616284423936,1.8855786468218523e-8,20,7.902233527548187e-6,465.05168104171753,false
Deployment time,120,120.0,constant_then_stop,0.97,95.53353993947395,94.67304123533357,95.53353993947395,95.52226876202765,3.2164347921847,116.88576472339096,0.09308818866953306,63.4435664862455,1.658622067838905e-5,20,7.902233527548187e-6,266.5691111087799,false
Deployment time,120,120.0,constant_then_stop,1.0,109.27128907227893,109.57611034526859,109.57611034526859,109.57470627948874,3.2143262882181087,120.79232869453674,0.1869784873293606,44.4451610745298,3.755515730724435e-6,20,7.902233527548187e-6,430.930624961853,false
Deployment time,120,120.0,constant_then_stop,1.03,74.61512841587502,74.38726332567583,74.61512841587502,74.61082916780165,3.212420279594126,125.21630721036578,0.10491038778115855,59.062032953127755,1.475796761575766e-5,20,7.902233527548187e-6,468.5891578197479,false
Panel count (4 m total),4,4.0,smooth,0.97,377.9524867255332,352.32433897132114,377.9524867255332,377.65598895459505,2.01775356929926,27.930731302357703,3.213510716169534,214.54988418226205,5.784690124076339e-8,40,7.702022997541961e-6,85.24039721488953,false
Panel count (4 m total),4,4.0,smooth,1.0,279.87469268855716,278.39847951553577,279.87469268855716,279.8409663489057,2.444814679397994,29.55487999791837,2.0278440257711274,244.91733434303964,2.9959096345244205e-8,40,7.702022997541961e-6,84.75445699691772,false
Panel count (4 m total),4,4.0,smooth,1.03,295.51561986643884,290.49815030415715,295.51561986643884,295.42825696687004,2.545502591065829,31.283460423302706,1.6993164643829781,102.74570694582887,4.5803651068917184e-8,40,7.702022997541961e-6,39.659570932388306,false
Panel count (4 m total),4,4.0,constant_then_stop,0.97,339.28237676552027,317.0149503668573,339.28237676552027,339.1700924758016,1.9028758556126926,29.729715919962572,2.8949764932127415,120.8215169426729,9.166471530727043e-6,40,7.702022997541961e-6,380.96179389953613,false
Panel count (4 m total),4,4.0,constant_then_stop,1.0,352.0864786545244,353.0302799053066,353.0302799053066,352.9602180235021,1.9132724910169014,31.18519801390007,2.920758824759847,87.23850673489261,5.203954226257727e-6,40,7.702022997541961e-6,159.6362590789795,false
Panel count (4 m total),4,4.0,constant_then_stop,1.03,257.7907314672623,254.28600606052797,257.7907314672623,257.7050016802349,1.9236043243915546,32.45328218628437,1.3073680264384622,144.3750420391817,3.8540138997179225e-5,40,7.702022997541961e-6,43.6641640663147,false
Panel count (4 m total),6,6.0,smooth,0.97,356.50679636877004,342.9155978157073,356.50679636877004,356.3957899901185,2.6459722181806518,29.727449024480066,3.499300509694541,254.97436171147322,6.5563572000329e-8,27,7.676747616452663e-6,79.70425605773926,false
Panel count (4 m total),6,6.0,smooth,1.0,344.8435071380715,357.6907680395082,357.6907680395082,357.5905947081741,2.645753736628027,30.994711167508832,1.730667301971292,153.93111555214634,5.227432523143878e-8,27,7.676747616452663e-6,339.6529939174652,false
Panel count (4 m total),6,6.0,smooth,1.03,349.7012305842298,331.5229395688298,349.7012305842298,349.5363434300189,2.6453814766041335,30.854042444184955,2.4479541675439895,253.99660271511425,7.754165740613212e-8,27,7.676747616452663e-6,39.631407022476196,false
Panel count (4 m total),6,6.0,constant_then_stop,0.97,227.6791132493535,229.16854912967474,229.16854912967474,228.79806768764018,2.684501230086926,29.111643360931076,0.6184645499516036,159.79207768229693,2.7301385361544465e-5,27,7.676747616452663e-6,76.29263806343079,false
Panel count (4 m total),6,6.0,constant_then_stop,1.0,268.9811024520571,254.48622970553768,268.9811024520571,268.8506302921832,2.677914485318682,30.26984195057291,0.5162410857195343,52.4477748632215,6.746571523924225e-6,27,7.676747616452663e-6,263.18567395210266,false
Panel count (4 m total),6,6.0,constant_then_stop,1.03,284.5235601982501,269.2646790689441,284.5235601982501,284.42574624670226,2.673218383993845,32.35613629680102,1.7381074897616087,149.14047267659888,5.876161659157768e-6,27,7.676747616452663e-6,39.99932885169983,false
Panel count (4 m total),8,8.0,smooth,0.97,437.8872109339445,435.05635635361836,437.8872109339445,437.7318052953423,3.302500318168952,29.01127633024786,4.510653499521229,85.84266745491395,9.861520772441841e-8,20,7.902233527548187e-6,82.18380999565125,false
Panel count (4 m total),8,8.0,smooth,1.0,443.41171406438303,408.1205334428088,443.41171406438303,443.1659903149004,3.297519529072378,28.74354865833453,3.360196648497399,297.5042776472886,7.486763513328765e-8,20,7.902233527548187e-6,114.1510751247406,false
Panel count (4 m total),8,8.0,smooth,1.03,414.1260104260718,409.2698441756976,414.1260104260718,414.042190319113,3.2924618537479247,31.369294912634714,1.7387906483791384,179.91970599719622,5.12520282146334e-8,20,7.902233527548187e-6,39.371317863464355,false
Panel count (4 m total),8,8.0,constant_then_stop,0.97,237.28997311096566,259.6436470076476,259.6436470076476,259.445223516326,3.22131728916195,29.408039573432532,0.9560148978621381,220.36753669285716,1.907158531767268e-5,20,7.902233527548187e-6,86.84719395637512,false
Panel count (4 m total),8,8.0,constant_then_stop,1.0,260.4829445755306,251.12080653350554,260.4829445755306,260.36504871245694,3.251042311764614,30.478586758343596,1.536082369773704,127.090416417587,1.111582775894431e-6,20,7.902233527548187e-6,127.72452092170715,false
Panel count (4 m total),8,8.0,constant_then_stop,1.03,238.8842660673452,238.0338049662365,238.8842660673452,238.7520188127631,3.2782135037419327,31.025610972054587,1.3474365910851993,151.79427087775775,8.919949781513808e-6,20,7.902233527548187e-6,38.614245891571045,false
Panel count (4 m total),12,12.0,smooth,0.97,170.0937690399681,165.63099650046698,170.0937690399681,170.00297603909382,2.8484511778484873,28.57542708400068,0.7029031881790818,79.89198210607543,4.173054719417551e-8,13,8.31844693969614e-6,149.133859872818,false
Panel count (4 m total),12,12.0,smooth,1.0,182.75915970731631,165.46620734427094,182.75915970731631,182.65798274107357,2.8475163029092583,29.45113494868331,0.5339104139377244,85.44308961650425,3.619793338465403e-8,13,8.31844693969614e-6,83.75501799583435,false
Panel count (4 m total),12,12.0,smooth,1.03,177.9106974012762,180.98792024351303,180.98792024351303,180.89969261590636,2.84665886124645,30.476325304872283,0.571783105877898,106.8087747279962,4.743884884734457e-8,13,8.31844693969614e-6,119.09219908714294,false
Panel count (4 m total),12,12.0,constant_then_stop,0.97,178.31363410825588,193.33462357165155,193.33462357165155,193.19209423255103,2.872375562207288,29.330900116616945,0.6747586585353611,83.53754056469342,1.3099513177919646e-5,13,8.31844693969614e-6,140.21039605140686,false
Panel count (4 m total),12,12.0,constant_then_stop,1.0,181.51948671894334,190.31549313227734,190.31549313227734,190.17802077990157,2.872204075328329,30.180463102568112,0.5775643649057856,91.83405700429022,2.303579557852071e-5,13,8.31844693969614e-6,74.73656582832336,false
Panel count (4 m total),12,12.0,constant_then_stop,1.03,181.79402132024865,171.77340107184395,181.79402132024865,181.66302886039193,2.871886914978318,31.11864250376786,0.7442685037930192,51.298285293855095,3.6985455020679134e-5,13,8.31844693969614e-6,86.10610795021057,false
Panel count (4 m total),16,16.0,smooth,0.97,240.18605846852074,245.07998848145112,245.07998848145112,245.036582231457,3.522746949800149,29.922152261919933,1.4369205877742406,157.0672634102166,4.200860739935687e-8,10,7.943246718176959e-6,268.312695980072,false
Panel count (4 m total),16,16.0,smooth,1.0,257.70659454501117,266.5933611229034,266.5933611229034,266.5066506843905,3.522719900082836,29.837969733200694,1.6061355817402916,172.5485220431024,3.952477421721229e-8,10,7.943246718176959e-6,157.9764847755432,false
Panel count (4 m total),16,16.0,smooth,1.03,272.26607634753367,266.2910323722996,272.26607634753367,272.23035879228763,3.5226962433137223,32.025079171076975,1.0098737717565978,242.35440556531856,3.208209734507199e-8,10,7.943246718176959e-6,64.97638297080994,false
Panel count (4 m total),16,16.0,constant_then_stop,0.97,316.3891227203237,270.7945185199234,316.3891227203237,316.0451859188629,3.5259855180754505,29.246880971914273,0.88827034560623,75.18575519771296,2.250441667607693e-5,10,7.943246718176959e-6,171.9535460472107,false
Panel count (4 m total),16,16.0,constant_then_stop,1.0,223.20689947392515,238.31754466162388,238.31754466162388,238.11303304882532,3.525726046813158,30.645805867686008,0.9743945646427226,154.47672525495017,6.924855363591829e-7,10,7.943246718176959e-6,153.74674105644226,false
Panel count (4 m total),16,16.0,constant_then_stop,1.03,298.12822624847604,317.42750257679853,317.42750257679853,316.8808203657685,3.5802310878204695,31.080492101091522,1.4929308591176254,118.43095763927295,1.3781872140046965e-5,10,7.943246718176959e-6,64.8303689956665,false
