group,label,value,profile,n,peak_attachment_force_N_per_m_mean,peak_attachment_force_N_per_m_min,peak_attachment_force_N_per_m_max,peak_tip_force_N_per_m_mean,peak_tip_force_N_per_m_min,peak_tip_force_N_per_m_max,peak_tension_N_per_m_mean,peak_tension_N_per_m_min,peak_tension_N_per_m_max,max_panel_curvature_ratio_mean,max_panel_curvature_ratio_min,max_panel_curvature_ratio_max,KE_at_deploy_end_J_per_m_mean,KE_at_deploy_end_J_per_m_min,KE_at_deploy_end_J_per_m_max,final_tip_force_N_per_m_mean,final_tip_force_N_per_m_min,final_tip_force_N_per_m_max
Deployment time,60,60.0,trapezoid,3,114.15280116086224,82.90782622606335,134.4211352956056,112.73239469139271,78.99918529566433,134.06855681759603,114.1296974970229,82.89398286353,134.40664698100932,3.2644680120122076,3.26109385740991,3.2678998565416526,0.3059141960416663,0.18944737058911496,0.4252668198018923,77.26843791536251,63.22328152777933,101.51445801719571
Deployment time,60,60.0,constant_then_stop,3,201.73691152331037,106.510348464956,256.2661026154469,198.42629293869507,106.510348464956,246.33424686160112,201.68489005096913,106.4737572827828,256.20253792025215,3.3065610400225087,3.3011586555988717,3.3119985529251927,0.844804602287431,0.3177933146664259,1.130314778532872,119.256736928493,78.68622823553491,183.48537426183108
Deployment time,120,120.0,smooth,3,100.95151117110044,69.51549154384738,139.84994350900797,100.511372738626,68.78914975908485,139.25586999634717,100.94591133104983,69.51291655649841,139.83990083688425,3.1918342884585917,3.1915811352832066,3.1920974706630934,0.15700240390088138,0.10065764574069401,0.20655737493436974,52.86314506732311,26.3245038840862,89.46114704037414
Deployment time,120,120.0,trapezoid,3,92.81542887724235,73.63288329775152,103.40718931097344,91.8883108712796,73.63288329775152,102.10790579895318,92.80910874585516,73.62922072888598,103.398346809109,3.2113780229828977,3.2101190116500904,3.2126724388987347,0.21413763461460386,0.11124923474822915,0.26560814889974493,32.570971578357835,19.415217773512865,51.90308067713671
Deployment time,120,120.0,constant_then_stop,3,93.24159290020584,74.61512841587502,109.57611034526859,93.13998580920929,74.61512841587502,109.27128907227893,93.23593473643935,74.61082916780165,109.57470627948874,3.2143937866656445,3.212420279594126,3.2164347921847,0.12832568792668408,0.09308818866953306,0.1869784873293606,55.65025350463435,44.4451610745298,63.4435664862455
Panel count (4 m total),4,4.0,smooth,3,317.7809330935097,279.87469268855716,377.9524867255332,317.7809330935097,279.87469268855716,377.9524867255332,317.64173742345696,279.8409663489057,377.65598895459505,2.336023613254361,2.01775356929926,2.545502591065829,2.3135570687745464,1.6993164643829781,3.213510716169534,187.40430849037685,102.74570694582887,244.91733434303964
Panel count (4 m total),4,4.0,constant_then_stop,3,316.70112937936307,257.7907314672623,353.0302799053066,316.38652896243565,257.7907314672623,352.0864786545244,316.6117707265129,257.7050016802349,352.9602180235021,1.913250890340383,1.9028758556126926,1.9236043243915546,2.3743677814703505,1.3073680264384622,2.920758824759847,117.47835523891574,87.23850673489261,144.3750420391817
Panel count (4 m total),6,6.0,smooth,3,354.63293166416935,349.7012305842298,357.6907680395082,350.35051136369043,344.8435071380715,356.50679636877004,354.5075760427705,349.5363434300189,357.5905947081741,2.645702477137604,2.6453814766041335,2.6459722181806518,2.559307326403274,1.730667301971292,3.499300509694541,220.96735999291127,153.93111555214634,254.97436171147322
Panel count (4 m total),6,6.0,constant_then_stop,3,260.89107059332736,229.16854912967474,284.5235601982501,260.3945919665536,227.6791132493535,284.5235601982501,260.69148140884187,228.79806768764018,284.42574624670226,2.6785446997998172,2.673218383993845,2.684501230086926,0.9576043751442489,0.5162410857195343,1.7381074897616087,120.46010840737245,52.4477748632215,159.79207768229693
Panel count (4 m total),8,8.0,smooth,3,431.8083118081331,414.1260104260718,443.41171406438303,431.8083118081331,414.1260104260718,443.41171406438303,431.6466619764519,414.042190319113,443.1659903149004,3.2974939003297514,3.2924618537479247,3.302500318168952,3.2032135987992554,1.7387906483791384,4.510653499521229,187.75555036646628,85.84266745491395,297.5042776472886
Panel count (4 m total),8,8.0,constant_then_stop,3,253.00361921684112,238.8842660673452,260.4829445755306,245.55239458461384,237.28997311096566,260.4829445755306,252.85409701384867,238.7520188127631,260.36504871245694,3.250191034889499,3.22131728916195,3.2782135037419327,1.2798446195736803,0.9560148978621381,1.536082369773704,166.41740799606728,127.090416417587,220.36753669285716
Panel count (4 m total),12,12.0,smooth,3,177.94694966359916,170.0937690399681,182.75915970731631,176.9212087161869,170.0937690399681,182.75915970731631,177.85355046535793,170.00297603909382,182.65798274107357,2.847542114001399,2.84665886124645,2.8484511778484873,0.6028655693315681,0.5339104139377244,0.7029031881790818,90.7146154835253,79.89198210607543,106.8087747279962
Panel count (4 m total),12,12.0,constant_then_stop,3,188.48137934139254,181.79402132024865,193.33462357165155,180.54238071581594,178.31363410825588,181.79402132024865,188.34438129094818,181.66302886039193,193.19209423255103,2.8721555175046447,2.871886914978318,2.872375562207288,0.6655305090780553,0.5775643649057856,0.7442685037930192,75.55662762094624,51.298285293855095,91.83405700429022
Panel count (4 m total),16,16.0,smooth,3,261.3131419839627,245.07998848145112,272.26607634753367,256.7195764536885,240.18605846852074,272.26607634753367,261.25786390271173,245.036582231457,272.23035879228763,3.522721031065569,3.5226962433137223,3.522746949800149,1.3509766470903768,1.0098737717565978,1.6061355817402916,190.65673033954587,157.0672634102166,242.35440556531856
Panel count (4 m total),16,16.0,constant_then_stop,3,290.71138998624866,238.31754466162388,317.42750257679853,279.24141614757497,223.20689947392515,316.3891227203237,290.34634644448556,238.11303304882532,316.8808203657685,3.5439808842363596,3.525726046813158,3.5802310878204695,1.1185319231221926,0.88827034560623,1.4929308591176254,116.03114603064536,75.18575519771296,154.47672525495017
Hinge stiffness k_hinge,0.00822,0.00822,smooth,3,288.51241912135225,270.16273997290403,305.39283406030916,282.09775396128856,270.16273997290403,289.9816833308437,288.14864629804174,269.7939946289962,304.8727132345802,2.299944578676888,2.067051588598743,2.604710927620993,1.8668864977136586,1.6666365724682293,2.158093972212879,163.30797876795546,117.951113816368,192.61054748032296
Hinge stiffness k_hinge,0.00822,0.00822,constant_then_stop,3,312.0237857781197,293.71869584182815,325.14747180525416,311.56673718288863,292.34755005613493,325.14747180525416,311.74241185209326,293.517455854351,324.8622142276698,1.167385182338732,1.1089128305679445,1.25746327035589,1.3241553427274013,1.035413463605402,1.8608866831464488,152.0016740270332,136.77183798342958,179.66001679838533
Hinge stiffness k_hinge,0.0146,0.0146,smooth,3,284.0735335962799,274.1397598165163,291.1310861913294,281.05087496401296,274.1397598165163,291.1310861913294,283.8449564181655,274.01993566821835,290.8285731253102,2.4536307149760783,2.1439600291210645,2.8500401765900474,1.0280911604185514,0.6830936642483416,1.4000900389087059,140.28297768275027,116.02076982829819,165.34510674368335
Hinge stiffness k_hinge,0.0146,0.0146,constant_then_stop,3,295.44999613264775,275.1759362344202,311.3969731706478,287.62669069901585,272.6874263328891,299.7770789928754,295.2639930235201,275.05768739917767,311.1607307089961,1.7890723931751005,1.7719705387146196,1.8054994789438668,1.782068477403118,1.3559103881464158,2.0865797232769534,110.96713553664112,39.96873052917225,201.59125244261546
Hinge stiffness k_hinge,0.026,0.026,smooth,3,431.8083118081331,414.1260104260718,443.41171406438303,431.8083118081331,414.1260104260718,443.41171406438303,431.6466619764519,414.042190319113,443.1659903149004,3.2974939003297514,3.2924618537479247,3.302500318168952,3.2032135987992554,1.7387906483791384,4.510653499521229,187.75555036646628,85.84266745491395,297.5042776472886
Hinge stiffness k_hinge,0.026,0.026,constant_then_stop,3,253.00361921684112,238.8842660673452,260.4829445755306,245.55239458461384,237.28997311096566,260.4829445755306,252.85409701384867,238.7520188127631,260.36504871245694,3.250191034889499,3.22131728916195,3.2782135037419327,1.2798446195736803,0.9560148978621381,1.536082369773704,166.41740799606728,127.090416417587,220.36753669285716
Hinge stiffness k_hinge,0.0462,0.0462,smooth,3,300.0313949204375,244.7549032013152,335.33274248747523,295.41956905522983,241.52316001494864,334.4031025037919,299.953900306869,244.70995108814284,335.27928072654095,4.561157534962478,4.559485233571801,4.562635502361494,1.617825646398625,1.2617589982852668,2.2188384698360206,193.22306637907124,85.80863836491989,274.095544211615
Hinge stiffness k_hinge,0.0462,0.0462,constant_then_stop,3,428.07544769638145,415.3390276820563,436.2524584839728,417.2946281388478,415.3390276820563,418.5524362465384,427.9798914100206,415.2635519892437,436.1413279953864,4.596198125885974,4.590927065616773,4.6017041751234,3.169494750586406,2.340957259701383,3.81928975904686,130.28918300952478,101.98704694236143,150.23288287810834
Hinge stiffness k_hinge,0.0822,0.0822,smooth,3,168.20817057138413,161.85708794086997,178.0934205540642,166.03725135653823,161.85708794086997,173.8344962608205,168.1790836616278,161.82374858428517,178.0740448473459,5.106217371641807,5.105596773442246,5.106815465141222,0.41944864987055147,0.2505503068746112,0.5435153248295996,99.16877076762704,60.323128633852896,122.4538414552815
Hinge stiffness k_hinge,0.0822,0.0822,constant_then_stop,3,279.2241870593372,236.18055924965137,304.4542317503798,276.01685806631576,229.1799158422514,304.4542317503798,279.1138615417693,236.04505963099393,304.322699134423,5.080600370074521,5.079622190769648,5.081617439566641,1.5684507022802132,1.0449135196897859,1.9306059210837352,174.25304150611362,145.09385809083025,204.25870469874377
Fold rest angle θ_rest,0.0949π,0.2981371428256714,smooth,3,441.10156208233093,421.46373437361757,451.05813693112725,432.29266508557794,395.23876867862816,451.05813693112725,440.81323738700456,421.09001020636174,450.7555995414489,4.546119712842447,4.531387478976137,4.561064664144882,2.4990938741279423,1.245760294335391,4.335668814556883,214.361470218901,113.3516330249207,360.61460280502314
Fold rest angle θ_rest,0.0949π,0.2981371428256714,constant_then_stop,3,403.0746603162954,383.0643822532999,432.03501925283564,396.53958668170554,383.0643822532999,412.42979834906606,402.8685144729302,382.91546560452866,431.89112450864474,4.896340529840537,4.893484500395396,4.898015074846828,1.1701928184354686,0.9676635809048719,1.517732326344109,209.5871736645731,102.96379254158386,349.8331908550654
Fold rest angle θ_rest,0.169π,0.5309291584566751,smooth,3,352.6691900833293,319.15588054786355,376.7987396020182,336.30164619724655,319.15588054786355,354.1049376934895,352.49141811846016,319.11450707936575,376.4851816186186,4.146203265403092,4.133793187355332,4.158785716528849,0.9619200351808174,0.3595322332348389,1.5952789594054808,151.83295559040687,98.90045707072711,247.52138580745378
Fold rest angle θ_rest,0.169π,0.5309291584566751,constant_then_stop,3,310.75084222197376,289.27686702296245,334.6442376470327,299.57163002933453,278.77193855105656,334.6442376470327,310.6502250312172,289.17501640070907,334.56696269905024,4.3439254052455984,4.327721699488816,4.358848132222791,1.0197797722182746,0.8157406135874324,1.1767078886123572,141.95164630795742,61.95838029249814,255.18561446067804
Fold rest angle θ_rest,0.3π,0.9424777960769379,smooth,3,431.8083118081331,414.1260104260718,443.41171406438303,431.8083118081331,414.1260104260718,443.41171406438303,431.6466619764519,414.042190319113,443.1659903149004,3.2974939003297514,3.2924618537479247,3.302500318168952,3.2032135987992554,1.7387906483791384,4.510653499521229,187.75555036646628,85.84266745491395,297.5042776472886
Fold rest angle θ_rest,0.3π,0.9424777960769379,constant_then_stop,3,253.00361921684112,238.8842660673452,260.4829445755306,245.55239458461384,237.28997311096566,260.4829445755306,252.85409701384867,238.7520188127631,260.36504871245694,3.250191034889499,3.22131728916195,3.2782135037419327,1.2798446195736803,0.9560148978621381,1.536082369773704,166.41740799606728,127.090416417587,220.36753669285716
Fold rest angle θ_rest,0.533π,1.6744688843633597,smooth,3,195.2715396099608,187.48893337476918,200.68525008318528,195.1780857089365,187.48893337476918,200.4048883801124,195.2372711387749,187.45997646306614,200.65377131205886,1.828670048218756,1.7314311816386079,1.9550760808391294,0.7661756403180697,0.6089407098415508,1.0524933624412636,114.16946177931464,100.39752992462952,129.06770133940782
Fold rest angle θ_rest,0.533π,1.6744688843633597,constant_then_stop,3,217.07719324962054,195.99354916975653,231.3806063624414,209.15366011953174,184.23813304413505,223.85742421666362,216.77090970387414,195.69815113986144,231.0011495896174,1.7839961862778362,1.7392153484255828,1.8376587912989517,0.689126616259375,0.619734119345014,0.7253575606032889,110.73601828939816,90.9319692391485,128.36065869946668
Fold rest angle θ_rest,0.949π,2.9813714282567134,smooth,3,65.69381508002691,63.793816838218156,68.302115444744,65.60964842614085,63.54131687656003,68.302115444744,65.68663543298477,63.78991786993869,68.29090433114182,2.4529993433450596,2.441923694605618,2.4603692551307392,0.11420613728122005,0.07478493603317975,0.1358369233893311,46.79384134320796,40.14417976760907,59.58558086237288
Fold rest angle θ_rest,0.949π,2.9813714282567134,constant_then_stop,3,117.22188718506932,114.52833810825338,122.07116846376431,117.22188718506932,114.52833810825338,122.07116846376431,117.17690701141521,114.44430394050259,122.0359058363784,2.317283460472138,2.266726036052533,2.3645400346744485,0.3113083171057031,0.2211646475003094,0.41951424692299905,78.40554247479157,67.77949330380487,84.90214691576365
Hinge damping ratio,0.01,0.01,smooth,3,355.08970100862825,311.3515549139064,419.1650027938158,351.9799023434439,306.95856952383923,419.1650027938158,354.92709305451086,311.19507906892824,418.98580287517143,3.9799040223119992,3.9713627975286423,3.988310567624929,1.600104193589785,0.527450965905078,2.3286418892669465,104.93551040318476,71.00028386941572,126.88890335481558
Hinge damping ratio,0.01,0.01,constant_then_stop,3,339.9817964599311,285.99586147089394,381.38171156889297,333.7089971177625,267.1774634443881,381.38171156889297,339.6689196576596,285.7957270485363,380.9955240413581,3.929268402641364,3.8917078278873087,3.96553520482843,1.684866491828844,1.476041768313843,1.9893522809181792,128.89538085204427,117.79731964715717,141.7800971233947
Hinge damping ratio,0.02,0.02,smooth,3,436.49702116823227,413.37385506473566,448.20382956415193,433.167298253285,413.37385506473566,445.9894192059579,436.258790614645,413.0963825624488,447.9839379371401,3.736522525567396,3.7288090567528247,3.7441767703851685,2.9921411445621113,1.3518890476385101,4.556695236477534,275.2179778943914,238.25963800544676,343.9945672706783
Hinge damping ratio,0.02,0.02,constant_then_stop,3,338.51298449115575,325.54695159862547,353.6700138958369,322.4185271621321,296.4372187797197,349.4521014051595,337.9953142561079,324.96900588023675,353.18159522132413,3.70490244754841,3.6713783675094693,3.7373316975024573,2.221845930994531,1.4052567652224388,2.909097099072357,190.19293439851478,98.70855631069183,246.64752045935202
Hinge damping ratio,0.05,0.05,smooth,3,431.8083118081331,414.1260104260718,443.41171406438303,431.8083118081331,414.1260104260718,443.41171406438303,431.6466619764519,414.042190319113,443.1659903149004,3.2974939003297514,3.2924618537479247,3.302500318168952,3.2032135987992554,1.7387906483791384,4.510653499521229,187.75555036646628,85.84266745491395,297.5042776472886
Hinge damping ratio,0.05,0.05,constant_then_stop,3,253.00361921684112,238.8842660673452,260.4829445755306,245.55239458461384,237.28997311096566,260.4829445755306,252.85409701384867,238.7520188127631,260.36504871245694,3.250191034889499,3.22131728916195,3.2782135037419327,1.2798446195736803,0.9560148978621381,1.536082369773704,166.41740799606728,127.090416417587,220.36753669285716
Hinge damping ratio,0.1,0.1,smooth,3,373.8208065185783,353.75897290885143,395.4997837046437,373.20196542795264,351.9024496369745,395.4997837046437,373.64373553320297,353.68380392000887,395.1605308514984,2.861699952871431,2.8602988230340975,2.8630105670036725,2.0197667416169,1.2955444025247076,2.4780749826022093,157.72838959300304,67.0071700183984,322.1571388581338
Hinge damping ratio,0.1,0.1,constant_then_stop,3,222.06671381865746,181.01680889621662,266.46049955600915,220.998565389139,177.81236360766127,266.46049955600915,222.0169191343784,180.95063287968,266.3964258530516,2.7737779205281257,2.7542515530611933,2.795739454210767,1.1909800033101907,0.9018031875127577,1.3668606826065384,135.09205719379887,85.30409863832274,161.0517413603904
